2020-08-30 12:49:13,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 12:48:41,b'RT @SomeshP85853353: @DrRPNishank @Swamy39 Aur hnn...Jada apne inn chamche media vaali se NATA ki viral pics ki bhi paddtal krwa lete....Ky\xe2\x80\xa6'
2020-08-30 12:47:29,b'@DrRPNishank @Swamy39 Aur hnn...Jada apne inn chamche media vaali se NATA ki viral pics ki bhi paddtal krwa lete...\xe2\x80\xa6 https://t.co/9nlQ0nYAcL'
2020-08-30 12:46:35,b'@DrRPNishank @Swamy39 Aur hnn...Jada apne inn chamche media vaali se NATA ki viral pics ki bhi paddtal krwa lete...\xe2\x80\xa6 https://t.co/NpUWgWZZOE'
2020-08-30 12:23:14,"b'RT @htTweets: NEET, JEE mains 2020: Voices grow louder against exams in Uttar Pradesh\n\n#NEET2020 #JEEMains \n\nhttps://t.co/YODbarCmLK https:\xe2\x80\xa6'"
2020-08-30 12:09:57,"b'RT @htTweets: \xe2\x80\x98I am standing by you\xe2\x80\x99, @SonuSood promises to help aspirants reach their exam centres\n\n#NEET2020 #JEEMains\n\nhttps://t.co/v5oc\xe2\x80\xa6'"
2020-08-30 11:24:57,b'So proud of Odisha Government.  Heartiest appriciaction to all district administrators of odisha. How they are maki\xe2\x80\xa6 https://t.co/GgyVtji2lW'
2020-08-30 11:07:29,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 10:54:30,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 10:39:07,b'#Facts #FactsMatter #lockdown #SCpostponeJEEandNEET #jeeneetpostpone #NEET2020 #NEETJEE #NEETJEEaspirants\xe2\x80\xa6 https://t.co/4STzlyHD0H'
2020-08-30 10:38:36,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 10:32:44,b'RT @Shrmaazalwaysbe: I saw Her Excellency Mrs Gandhi convening a virtual meeting cum echo chamber few days back &amp; hopping on the bandwagon\xe2\x80\xa6'
2020-08-30 10:31:45,b'I saw Her Excellency Mrs Gandhi convening a virtual meeting cum echo chamber few days back &amp; hopping on the bandwag\xe2\x80\xa6 https://t.co/QLRPVpFfXv'
